,index,name,zipcode,lat,long,Geography,Median income (dollars); Estimate; Households
122,464,80 ST, 11417,40.67937100115432,-73.85899200206335,ZCTA5 10004,140450.0
123,214,CLEVELAND ST, 11208,40.67977799896117,-73.8851940021643,ZCTA5 10004,140450.0
124,459,88 ST-BOYD AV STATION, 11417,40.67984300135503,-73.85147000026086,ZCTA5 10004,140450.0
125,7,KINGSTON-THROOP AVS STATION, 11213,40.67991899941601,-73.94085899871263,ZCTA5 10004,140450.0
126,393,CARROLL ST STATION, 11231,40.68027335170176,-73.9949469799884,ZCTA5 10004,140450.0
148,127,NEVINS STREET STATION, 11217,40.68831058019022,-73.98040679874579,ZCTA5 10004,140450.0
157,228,75 ST-ELDERTS LANE STATION, 11421,40.691290001246735,-73.86728799944963,ZCTA5 10004,140450.0
150,73,WILSON AVENUE STATION, 11207,40.68886654246024,-73.90395860491864,ZCTA5 10004,140450.0
172,301,CENTRAL AVE, 11221,40.697873000118314,-73.92724299902838,ZCTA5 10004,140450.0
174,452,YORK STREET SUBWAY STATION, 11201,40.69933699977884,-73.99053100065457,ZCTA5 10004,140450.0
175,232,MYRTLE-WYCKOFF AVENUES SUBWAY STATION, 11237,40.69945400090837,-73.91217899939602,ZCTA5 10004,140450.0
176,211,MYRTLE-WYCKOFF AVENUES SUBWAY STATION, 11237,40.699471062427136,-73.91097571826471,ZCTA5 10004,140450.0
177,451,YORK STREET SUBWAY STATION, 11201,40.69974266769157,-73.98688499993673,ZCTA5 10004,140450.0
178,363,MYRTLE - WILLOUGHBY AVS, 11206,40.70037666622154,-73.9502340010257,ZCTA5 10004,140450.0
179,64,SUTPHIN BLVD-ARCHER AV-JFK STATION, 11435,40.700382424235,-73.80800471963833,ZCTA5 10004,140450.0
180,371,FLUSHING AV, 11206,40.70040440298112,-73.94137734838365,ZCTA5 10004,140450.0
181,209,121 STREET, 11418,40.70048199851532,-73.82834900017954,ZCTA5 10004,140450.0
182,417,SOUTH FERRY STA, 10004,40.701730507574474,-74.01316895919258,ZCTA5 10004,140450.0
183,246,JAMAICA CENTER - PARSONS/ARCHER, 11432,40.70206737621188,-73.80109632298924,ZCTA5 10004,140450.0
184,62,JAMAICA - VAN WYCK SUBWAY STATION, 11418,40.70289855287314,-73.81701287135405,ZCTA5 10004,140450.0
185,233,SENECA AV, 11385,40.70291899894902,-73.90758199885424,ZCTA5 10004,140450.0
186,420,WHITEHALL ST, 10004,40.703142373599135,-74.0130072374272,ZCTA5 10004,140450.0
187,234,DEKALB AV, 11237,40.703692999616436,-73.91823200219724,ZCTA5 10004,140450.0
188,75,LORIMER ST, 11206,40.703844000042096,-73.94735499884204,ZCTA5 10004,140450.0
189,448,FOREST AV, 11385,40.704412000878136,-73.90307500005954,ZCTA5 10004,140450.0
190,418,BOWLING GREEN, 10004,40.704913999280755,-74.01400799803432,ZCTA5 10004,140450.0
173,302,KNICKERBOCKER AV / MYRTLE AV, 11237,40.698660001238046,-73.91972000188625,ZCTA5 10004,140450.0
171,445,CLARK STREET SUBWAY STATION, 11201,40.697465999964685,-73.99308599821961,ZCTA5 10004,140450.0
151,69,CLASSON AV, 11238,40.68888900026455,-73.95999000137213,ZCTA5 10004,140450.0
170,372,MYRTLE AV STATION, 11206,40.6971950005145,-73.93562300129959,ZCTA5 10004,140450.0
152,300,GATES AVENUE STATION, 11221,40.689583999013905,-73.92215600150752,ZCTA5 10004,140450.0
153,227,CYPRESS HILLS, 11208,40.689616000838754,-73.87332199882995,ZCTA5 10004,140450.0
154,105,BEDFORD-NOSTRAND AVS STATION, 11205,40.68962700158444,-73.95352200064022,ZCTA5 10004,140450.0
155,404,HOYT ST, 11201,40.69054418535472,-73.98506379575646,ZCTA5 10004,140450.0
156,14,DEKALB AV SUBWAY STA, 11217,40.69064811996979,-73.98177094440949,ZCTA5 10004,140450.0
158,376,JAY ST - METROTECH, 11201,40.69225539645323,-73.98605667854612,ZCTA5 10004,140450.0
159,122,BOROUGH HALL, 11201,40.69240399999104,-73.99015100090539,ZCTA5 10004,140450.0
160,206,85 STREET - FOREST PARKWAY STATION, 11421,40.69242699966103,-73.86008700006875,ZCTA5 10004,140450.0
107,81,PARK PL, 11238,40.674771666852635,-73.95762400074635,ZCTA5 10004,140450.0
162,299,KOSCIUSZKO STREET STATION, 11221,40.69317200129203,-73.92850899927411,ZCTA5 10004,140450.0
163,405,BOROUGH HALL, 11201,40.69321899961109,-73.98999799960687,ZCTA5 10004,140450.0
164,207,WOODHAVEN BLVD, 11421,40.69370399880105,-73.85205199740794,ZCTA5 10004,140450.0
165,377,COURT STREET STATION, 11201,40.694196480777,-73.99181830901125,ZCTA5 10004,140450.0
166,362,MYRTLE - WILLOUGHBY AVS, 11206,40.694618999037644,-73.94906699890156,ZCTA5 10004,140450.0
167,13,104 STREET STATION, 11418,40.695165998233726,-73.84443500029684,ZCTA5 10004,140450.0
168,210,HALSEY ST STATION, 11237,40.695518001148784,-73.90393400118631,ZCTA5 10004,140450.0
169,208,111 STREET STATION, 11418,40.697114810696476,-73.83679338454697,ZCTA5 10004,140450.0
161,367,JAY ST - METROTECH STATION, 11201,40.6924706368471,-73.98721815267317,ZCTA5 10004,140450.0
116,385,ATLANTIC AV STATION, 11207,40.67833366608023,-73.90531600055341,ZCTA5 10004,140450.0
106,384,LIBERTY AVENUE STATION, 11207,40.67454199987086,-73.89654800103929,ZCTA5 10004,140450.0
80,60,PROSPECT PARK SUBWAY STATION, 11226,40.66163345510179,-73.96203130426609,ZCTA5 10004,140450.0
86,221,SUTTER AV - RUTLAND RD,"yn, NY",40.66476678877493,-73.92252118536001,ZCTA5 10004,140450.0
85,4,PENNSYLVANIA AV STATION, 11207,40.66471445143568,-73.89488591154061,ZCTA5 10004,140450.0
84,215,LIVONIA AV, 11212,40.66405727094644,-73.90056237226057,ZCTA5 10004,140450.0
83,216,JUNIUS ST, 11212,40.66358900181724,-73.90244864183562,ZCTA5 10004,140450.0
82,133,STERLING ST, 11225,40.6627729934283,-73.95072891124937,ZCTA5 10004,140450.0
81,217,ROCKAWAY AVE, 11224,40.66261748815223,-73.90895833584449,ZCTA5 10004,140450.0
79,220,SARATOGA AV, 11212,40.6615297898075,-73.91633025007947,ZCTA5 10004,140450.0
88,45,VAN SICLEN AV, 11207,40.66551796305964,-73.88940491730106,ZCTA5 10004,140450.0
78,241,HOWARD BEACH - JFK SUBWAY STATION, 11414,40.6604760000496,-73.83030100071032,ZCTA5 10004,140450.0
77,392,25 ST, 11232,40.66039666692321,-73.99809099974297,ZCTA5 10004,140450.0
76,106,15 ST - PROSPECT PARK STATION, 11215,40.66003568810021,-73.97973580592874,ZCTA5 10004,140450.0
75,222,NEW LOTS AV, 11212,40.658914773685275,-73.89927796057142,ZCTA5 10004,140450.0
74,44,WINTHROP ST, 11225,40.65665931376077,-73.95007934590994,ZCTA5 10004,140450.0
105,225,SHEPHERD AVENUE STATION, 11208,40.6741300014559,-73.88074999747269,ZCTA5 10004,140450.0
87,380,PROSPECT AV STATION, 11215,40.66541366712979,-73.99287200067424,ZCTA5 10004,140450.0
108,114,GRAND ARMY PLAZA STATION, 11238,40.675294695103204,-73.97095633192279,ZCTA5 10004,140450.0
89,107,7 AVENUE STATION, 11215,40.66624469001985,-73.98025117900944,ZCTA5 10004,140450.0
97,373,4 AV - 9 ST STATION, 11215,40.67027166728493,-73.98977899938897,ZCTA5 10004,140450.0
90,212,NEW LOTS AVENUE STATION, 11207,40.6663149325969,-73.8841107080033,ZCTA5 10004,140450.0
103,213,VAN SICLEN AV STATION, 11207,40.67270999906104,-73.89035800024709,ZCTA5 10004,140450.0
102,123,AQUEDUCT RACETRACK, 11417,40.67209699917285,-73.83591899965162,ZCTA5 10004,140450.0
101,128,EASTERN PARKWAY BROOKLYN MUSEUM STATION, 11238,40.67203223545925,-73.96422203748425,ZCTA5 10004,140450.0
99,41,BOTANIC GARDEN, 11225,40.67076515344894,-73.9580997367769,ZCTA5 10004,140450.0
98,280,BOTANIC GARDEN, 11225,40.670342666584396,-73.95924499945694,ZCTA5 10004,140450.0
100,381,9 STREET STATION, 11215,40.670846666842756,-73.98830199974512,ZCTA5 10004,140450.0
96,444,NOSTRAND AVENUE STATION, 11225,40.66993815093054,-73.95042624895791,ZCTA5 10004,140450.0
95,135,KINGSTON AV, 11213,40.66948144864978,-73.94215978392963,ZCTA5 10004,140450.0
94,72,SUTTER AVENUE STATION, 11207,40.66914500061397,-73.9019160004208,ZCTA5 10004,140450.0
